sno,district,mandal,village,lat_gis,long_gis,gwl,season,,pH,E.C,TDS,CO3,HCO3,Cl,F,NO3 ,SO4,Na,K,Ca,Mg,T.H,SAR,Classification,RSC  meq  / L,Classification.1
117,MAHABUBABAD,Dornakal,Mannegudem,17.374115,80.043883,2.56,Post-monsoon 2020,,8.29,1745,1116.8,0,340,180,1.26,177.5626364,55.75,180,10,56,68.068,419.8848684,3.819262925,C3S1,-1.597697368,P.S.
118,MAHABUBABAD,Kesamudram,Kesamudram,17.6816,79.9069,2.5,Post-monsoon 2020,,8.05,1743,1115.52,0,470,150,0.74,165.4835455,33.25,180,6,64,77.792,479.8684211,3.572593334,C3S1,-0.197368421,P.S.
119,MAHABUBABAD,Koravi,Ayyagaripally,17.503,79.9886,5.74,Post-monsoon 2020,,8.14,539,344.96,0,160,60,0.27,7.247454545,16.5,49,2,40,14.586,159.9753289,1.684386446,C2S1,0.000493421,P.S.
120,MAHABUBABAD,Mahabubabad,Mahabubabad,17.5983,80.0011,1.26,Post-monsoon 2020,,8.02,1135,726.4,0,430,50,3.61,29.39245455,27.5,118,4,48,48.62,319.9177632,2.868368827,C3S1,2.201644737,MR
121,MAHABUBABAD,Marripeda,Marripeda,17.3852,79.8941,2.6,Post-monsoon 2020,,8.28,546,349.44,0,130,50,0.36,6.442181818,22,41,1,32,14.586,139.9753289,1.506712087,C2S1,-0.199506579,P.S.
122,MAHABUBABAD,Nellikudur,Nellikudur,17.5897,79.7597,1.45,Post-monsoon 2020,,8.16,1150,736,0,410,60,2.16,61.80468182,20.75,119,4,48,48.62,319.9177632,2.892677037,C3S1,1.801644737,MR
123,MAHABUBABAD,Torrur,Torrur,17.5836,79.6611,2.35,Post-monsoon 2020,,8.2,510,326.4,0,140,50,0.28,4.831636364,16.25,33,1,32,19.448,159.9671053,1.134411867,C2S1,-0.399342105,P.S.
124,MAHABUBNAGAR,Bhoothpur,Elkicherla,16.623,78.116,3.21,Post-monsoon 2020,,8.98,820,524.8,80,180,80,0.66,32.19883,19,92,1.27,24,38.896,219.9342105,2.69720277,C3S1,0.801315789,P.S.
125,MAHABUBNAGAR,CC Kunta,Damagnapur,16.4997,77.7554,0.93,Post-monsoon 2020,,8.4,3192,2042.88,30,440,430,1.85,469.0311,65,406,106,88,82.654,559.8601974,7.460336229,C4S2,-1.797203947,P.S.
126,MAHABUBNAGAR,CC Kunta,Kurumurthy,16.441442,77.816757,10.47,Post-monsoon 2020,,8.16,1037,663.68,0,190,170,1.35,68.02944,19,73,14.67,88,29.172,339.9506579,1.721420938,C3S1,-2.999013158,P.S.
127,MAHABUBNAGAR,CC Kunta,Thirmalapur,16.48271,77.824269,0.52,Post-monsoon 2020,,8.62,884,565.76,50,250,90,1.63,3.05601,22,135,5.9,24,24.31,159.9588816,4.640895111,C3S1,2.800822368,U.S.
128,MAHABUBNAGAR,Devarkadara,Devarakadra,16.6058,77.832836,7.29,Post-monsoon 2020,,8.92,957,612.48,70,380,30,2.21,0.97438,10,161,0.5,24,24.31,159.9588816,5.534697132,C3S1,5.800822368,U.S.
129,MAHABUBNAGAR,Hanwada,Hanwada,16.808381,77.897252,3.17,Post-monsoon 2020,,8.39,1466,938.24,20,230,290,0.44,52.21791,20,84,2.8,152,43.758,559.9259868,1.543427159,C3S1,-6.198519737,P.S.
130,MAHABUBNAGAR,Jadcherla,Jadcherla,16.774181,78.122404,9.92,Post-monsoon 2020,,7.98,1284,821.76,0,270,190,1.61,55.8054,30,116,1.96,80,43.758,379.9259868,2.587501755,C3S1,-2.198519737,P.S.
131,MAHABUBNAGAR,Koilkonda,Dammaipally,16.759993,77.89946,1.28,Post-monsoon 2020,,8.6,491,314.24,50,140,50,0.62,7.04211,7,44,2.76,56,9.724,179.9835526,1.42596357,C2S1,0.200328947,P.S.
132,MAHABUBNAGAR,Mahabubnagar (R) ,Kodur,16.68,77.924,6.03,Post-monsoon 2020,,8.32,1349,863.36,10,300,190,1.06,81.0507,17,164,7.9,56,38.896,299.9342105,4.117209914,C3S1,0.201315789,P.S.
133,MAHABUBNAGAR,Mahabubnagar(U),Yenugonda,16.761294,78.020981,5.97,Post-monsoon 2020,,8.21,1980,1267.2,0,360,320,1.07,162.1014,36,155,3.59,160,63.206,659.8930921,2.623415445,C3S1,-5.997861842,P.S.
134,MAHABUBNAGAR,Midjil,Kothapalli,16.7506,78.2315,3.58,Post-monsoon 2020,,8.46,3349,2143.36,30,490,690,0.83,181.589,65,413,2.3,40,184.756,859.6875,6.124235881,C4S2,-6.79375,P.S.
135,MAHABUBNAGAR,Nawabpet,Nawabpet,16.888,78.0239,4.18,Post-monsoon 2020,,8.42,1566,1002.24,30,150,370,0.85,34.1033,28,182,5.2,72,43.758,359.9259868,4.170968884,C3S1,-3.598519737,P.S.
136,MANCHERIAL,Bellampally,Bellampally I,19.072027,79.503111,12.85,Post-monsoon 2020,,8.01,923,590.72,0,300,120,0.46,24.15818182,14,57,2,96,34.034,379.9424342,1.271417308,C3S1,-1.598848684,P.S.
137,MANCHERIAL,Chennur,Chennur I,18.852222,79.780222,5.38,Post-monsoon 2020,,8.02,771,493.44,0,280,100,0.85,10.66986364,11.5,75,4,96,9.724,279.9835526,1.948799535,C3S1,0.000328947,P.S.
138,MANCHERIAL,Jaipur,Jaipur,18.844277,79.579972,1.77,Post-monsoon 2020,,8.19,1726,1104.64,0,460,260,1.95,0.805272727,66,205,5,88,68.068,499.8848684,3.986493218,C3S1,-0.797697368,P.S.
139,MANCHERIAL,Mandamarri,Mandamarri,18.978679,79.477854,3.53,Post-monsoon 2020,,8.23,1327,849.28,0,400,150,0.54,6.240863636,53.25,175,8,104,9.724,299.9835526,4.393002907,C3S1,2.000328947,MR
140,MANCHERIAL,Tandur,Tandur ,19.157871,79.456254,8.18,Post-monsoon 2020,,8.05,392,250.88,0,150,20,0.34,9.260636364,4.25,13,2,40,14.586,159.9753289,0.446878037,C2S1,-0.199506579,P.S.
141,MANCHERIAL,Vemanpally,Neelwai,19.04799,79.81505,0.48,Post-monsoon 2020,,8.21,540,345.6,0,260,30,0.65,0.201318182,5.25,58,3,56,9.724,179.9835526,1.879679252,C2S1,1.600328947,MR
142,MEDAK,Chegunta,Chegunta,17.9341,78.5186,5.55,Post-monsoon 2020,,7.54,990,633.6,0,340,100,2.16,16.56446,9,104.57,3.18,64,29.172,279.9506579,2.717305863,C3S1,1.200986842,P.S.
143,MEDAK,Havelighanpur,Mutayapally,18.0845,78.2189,2.7,Post-monsoon 2020,,7.93,809,517.76,0,270,90,0.86,17.76029,14.75,86,2,72,14.586,239.9753289,2.413722381,C3S1,0.600493421,P.S.
144,MEDAK,Kulcharam,Rangampet,17.9451,78.1176,14.9,Post-monsoon 2020,,7.74,972,622.08,0,360,100,0.61,10.36386,12.625,85.4,2.39,80,34.034,339.9424342,2.013851045,C3S1,0.401151316,P.S.
145,MEDAK,Medak,Medak,18.0528,78.2708,9,Post-monsoon 2020,,7.1,2250,1440,0,430,440,0.81,57.22268,34.7,241,2.1,160,48.62,599.9177632,4.278025273,C4S1,-3.398355263,P.S.
146,MEDAK,Narasapur,Narasapur,17.735,78.2819,13,Post-monsoon 2020,,6.97,1454,930.56,0,320,230,0.57,99.2096,18.875,85,2.32,128,58.344,559.9013158,1.5618357,C3S1,-4.798026316,P.S.
147,MEDAK,Narasapur,Reddypally,17.7856,78.2633,10.9,Post-monsoon 2020,,7.24,1610,1030.4,0,460,230,1.18,17.716,24,165,5,104,48.62,459.9177632,3.345153233,C3S1,0.001644737,P.S.
148,MEDAK,Papannapet,Papannapet,18.04217,78.085354,5.25,Post-monsoon 2020,,7.35,1301,832.64,0,500,80,0.68,39.01949,26,51.3,1.87,104,72.93,559.8766447,0.942634549,C3S1,-1.197532895,P.S.
150,MEDAK,Shankarampet ,Gavvalapalli,18.0517,77.9172,3.1,Post-monsoon 2020,,7.67,1067,682.88,0,320,120,1.71,27.68125,16.5,82.45,0.83,80,38.896,359.9342105,1.889518988,C3S1,-0.798684211,P.S.
151,MEDAK,Shankarampet R,Shankarampet,17.971,78.372,6.65,Post-monsoon 2020,,7.86,3044,1948.16,0,470,550,1.01,223.2216,38.75,349.6,2.9,232,29.172,699.9506579,5.745262481,C4S1,-4.599013158,P.S.
152,MEDAK,Shivampet,Shivampet,17.7863,78.37,20,Post-monsoon 2020,,7.56,1693,1083.52,0,460,250,1.1,22.145,16.75,99.32,2.37,152,63.206,639.8930921,1.70708507,C3S1,-3.597861842,P.S.
153,MEDAK,Shivampet,Gudur,17.7817,78.3674,19.8,Post-monsoon 2020,,7.42,2802,1793.28,0,430,530,0.89,217.021,33.5,151.6,6.5,264,97.24,1059.835526,2.02466012,C4S1,-12.59671053,P.S.
154,MEDAK,Shivampet,Usrikapally,17.8211,78.3949,12,Post-monsoon 2020,,7.63,1664,1064.96,0,390,280,1.28,20.55056,20.5,191.7,2.1,72,58.344,419.9013158,4.067435353,C3S1,-0.598026316,P.S.
155,MEDAK,Tekmal,Tekmal,17.9754,78.0304,9.85,Post-monsoon 2020,,7.45,1282,820.48,0,470,110,0.6,21.56923,10,79.78,1.07,88,63.206,479.8930921,1.583412054,C3S1,-0.197861842,P.S.
156,MEDAK,Toopran,Islampur,17.8772,78.4746,1.85,Post-monsoon 2020,,7.22,1734,1109.76,0,310,320,1.36,79.722,24.25,103.81,1.71,160,58.344,639.9013158,1.7842465,C3S1,-6.598026316,P.S.
157,MEDAK,Toopran,Toopran,17.8413,78.4775,4.55,Post-monsoon 2020,,7.16,1837,1175.68,0,330,340,0.49,85.0368,22.5,105.87,3.08,200,43.758,679.9259868,1.765282667,C3S1,-6.998519737,P.S.
158,MEDAK,Yeldurthy,Edulapally,17.9672,78.3492,7.8,Post-monsoon 2020,,7.74,942,602.88,0,270,120,0.84,46.9474,15.5,61.37,1.71,96,29.172,359.9506579,1.406393341,C3S1,-1.799013158,P.S.
159,MEDAK,Yeldurthy,Kukunoor,17.9146,78.3208,3.75,Post-monsoon 2020,,7.52,2683,1717.12,0,400,480,1.13,221.0071,38.5,118,2.43,200,131.274,1039.777961,1.591050145,C4S1,-12.79555921,P.S.
160,MEDAK,Yeldurthy,Ramayapally,17.9453,78.3213,3.75,Post-monsoon 2020,,7.85,690,441.6,0,260,50,0.79,17.716,8.75,35.73,1.41,48,38.896,279.9342105,0.928489917,C2S1,-0.398684211,P.S.
161,MEDCHAL,Alwal,Old Alwal,17.494,78.508,5,Post-monsoon 2020,,7.97,1320,844.8,0,250,190,1.99,144.8283,22,85,4.76,144,29.172,479.9506579,1.686913423,C3S1,-4.599013158,P.S.
162,MEDCHAL,Balanagar,Balanagar 1,17.47,78.45,3.7,Post-monsoon 2020,,8.19,1446,925.44,0,450,190,1.74,13.287,20,218,1.5,40,43.758,279.9259868,5.665093063,C3S1,3.401480263,U.S.
163,MEDCHAL,Kukatpally,Kaithalapur,17.47,78.4,2.34,Post-monsoon 2020,,8.16,389,248.96,0,150,30,1.19,0.3,9,17.8,4.7,32,19.448,159.9671053,0.611894886,C2S1,-0.199342105,P.S.
164,MEDCHAL,Kukatpally,Kukatpally 1,17.481,78.397,4.12,Post-monsoon 2020,,7.8,444,284.16,0,130,60,0.83,1.01867,6.75,28,4.93,24,24.31,159.9588816,0.962556023,C2S1,-0.599177632,P.S.
165,MEDCHAL,Malkajgiri,Malkajgiri,17.449,78.535,9.7,Post-monsoon 2020,,7.18,4644,2972.16,0,310,1000,1.3,528.8226,50,148,5.4,592,97.24,1879.835526,1.484136865,C4S1,-31.39671053,P.S.
166,MEDCHAL,Qutubullapur,Gajularamaram 2,17.53,78.42,1.33,Post-monsoon 2020,,8.04,927,593.28,0,350,60,0.94,29.85146,13.25,101,1.51,48,34.034,259.9424342,2.723672883,C3S1,1.801151316,MR
169,MEDCHAL,Qutubullapur,Shapurnagar,17.54,78.44,,Post-monsoon 2020,,7.79,1980,1267.2,0,620,200,0.91,66,40,224,4.1,112,63.206,539.8930921,4.191469371,C3S1,1.602138158,MR
170,MULUGU,Eturu Nagaram,Eturu Nagaram (D),18.359652,80.440017,10.67,Post-monsoon 2020,,7.94,344,220.16,0,150,20,0.18,3.019772727,3,6,1,48,14.586,179.9753289,0.19445402,C2S1,-0.599506579,P.S.
171,MULUGU,Eturu Nagaram,Eturu Nagaram (S),18.3374,80.4232,11.16,Post-monsoon 2020,,7.09,342,218.88,0,110,40,0.2,3.825045455,3.75,19,4,32,14.586,139.9753289,0.698232431,C2S1,-0.599506579,P.S.
172,MULUGU,Govindaraopet,Pasra,18.207438,80.171524,2.62,Post-monsoon 2020,,7.67,1197,766.08,0,280,40,1.51,15.5015,29.75,76,10,48,43.758,299.9259868,1.908001483,C3S1,-0.398519737,P.S.
173,MULUGU,Govindaraopet,Project Nagar,18.2616,80.1944,2.38,Post-monsoon 2020,,8.22,672,430.08,0,200,80,0.86,7.448772727,24.5,75,33,56,19.448,219.9671053,2.198642191,C2S1,-0.399342105,P.S.
174,NAGARKURNOOL,Amarabad,Domalapenta,16.211577,78.87839,2.12,Post-monsoon 2020,,6.47,1585,1014.4,0,220,260,0.19,190.447,30,103,61,144,29.172,479.9506579,2.044142148,C3S1,-5.199013158,P.S.
175,NAGARKURNOOL,Balmur,Balmur,16.331127,78.566382,10.47,Post-monsoon 2020,,7.01,1162,743.68,0,370,150,0.46,3.67607,11,25,62,160,9.724,439.9835526,0.518195875,C3S1,-1.399671053,P.S.
176,NAGARKURNOOL,Bijinepalli,Bijinepalli,16.535278,78.196422,8.77,Post-monsoon 2020,,7.41,1620,1036.8,0,380,200,0.68,221.45,25,98,3,200,34.034,639.9424342,1.684332332,C3S1,-5.198848684,P.S.
177,NAGARKURNOOL,Kalwakuthy,Kalwakuthy,16.667,78.488,8.75,Post-monsoon 2020,,7.1,2175,1392,0,390,370,1.22,190.447,30,116,4,208,77.792,839.8684211,1.740301631,C3S1,-8.997368421,P.S.
178,NAGARKURNOOL,Kodair,Kodair,16.269624,78.274343,0.84,Post-monsoon 2020,,7.4,3026,1936.64,0,390,540,0.88,416.326,41,288,4,24,204.204,899.6546053,4.174714189,C4S2,-10.19309211,P.S.
179,NAGARKURNOOL,Kollapur,Kollapur,16.107,78.306,1.56,Post-monsoon 2020,,8.15,1590,1017.6,0,340,280,1.01,3.27746,25,157,1,80,58.344,439.9013158,3.254574264,C3S1,-1.998026316,P.S.
180,NAGARKURNOOL,Lingal,Ambatipally,16.277,78.446,0.92,Post-monsoon 2020,,7.98,2483,1589.12,0,280,590,0.71,73.0785,40,241,3,64,136.136,719.7697368,3.905641847,C4S1,-8.795394737,P.S.
181,NAGARKURNOOL,Nagarkurnool,Nagarkurnool,16.491743,78.302619,8.62,Post-monsoon 2020,,7,2592,1658.88,0,330,460,0.75,349.0052,29,181,2,64,170.17,859.7121711,2.683948642,C4S1,-10.59424342,P.S.
182,NAGARKURNOOL,Telkapally,Telkapally,16.435091,78.440307,1.25,Post-monsoon 2020,,6.96,579,370.56,0,140,70,0.6,39.861,21,33,1,64,14.586,219.9753289,0.967384481,C2S1,-1.599506579,P.S.
183,NAGARKURNOOL,Thimmajipet,Gummakonda,16.6224,78.19,2.16,Post-monsoon 2020,,7.2,5457,3492.48,0,530,1170,0.39,372.036,81,742,41,272,48.62,879.9177632,10.87564509,O.G,-6.998355263,P.S.
184,NAGARKURNOOL,Uppununuthala,Uppununthala,16.450018,78.591328,2.17,Post-monsoon 2020,,7.32,2265,1449.6,0,410,300,0.48,301.172,26,95,2,248,63.206,879.8930921,1.392453866,C4S1,-9.397861842,P.S.
185,NAGARKURNOOL,Veldanda,Veldanda,16.73106,78.5211,5.74,Post-monsoon 2020,,8.46,1394,892.16,20,560,60,2.7,5.18193,25,240,1,48,14.586,179.9753289,7.778160809,C3S2,8.000493421,U.S.
186,NALGONDA,Advidevulapally,Ulsaipalem,16.706822,79.499703,0.32,Post-monsoon 2020,,8.16,1079,690.56,0,340,110,1.52,14.03993,22,101,0.9,64,38.896,319.9342105,2.455066142,C3S1,0.401315789,P.S.
187,NALGONDA,Anumula,Anumula,16.798786,79.289548,2.4,Post-monsoon 2020,,8.9,1925,1232,30,690,90,3.83,188.2325,23,378.3,3,16,43.758,219.9259868,11.09098788,C3S2,10.00148026,U.S.
188,NALGONDA,Anumula,Chintagudem,16.833094,79.292086,0.92,Post-monsoon 2020,,8.38,1630,1043.2,10,290,240,1.37,198.8621,23,152,1,40,97.24,499.8355263,2.955984766,C3S1,-3.996710526,P.S.
189,NALGONDA,Anumula,Rajavaram,16.68016,79.407512,6.03,Post-monsoon 2020,,7.57,1443,923.52,0,350,230,0.56,18.278483,32,104.61,0.4,136,38.896,499.9342105,2.034177929,C3S1,-2.998684211,P.S.
190,NALGONDA,Anumula,Sreerampur,16.729108,79.304637,0.26,Post-monsoon 2020,,7.7,839,536.96,0,310,50,0.74,28.7885,20,70,1.84,32,48.62,279.9177632,1.819093301,C3S1,0.601644737,P.S.
191,NALGONDA,Chandampet,Chandampet,16.578477,78.888363,4.51,Post-monsoon 2020,,7.51,1506,963.84,0,310,170,1.6,219.27979,21,110.5,1.25,152,34.034,519.9424342,2.106962521,C3S1,-4.198848684,P.S.
192,NALGONDA,Chandur,Angadipet,16.984083,79.018416,6.14,Post-monsoon 2020,,8.43,543,347.52,20,160,80,0.44,3.215454,16,52,2.39,32,29.172,199.9506579,1.598873443,C2S1,-0.399013158,P.S.
193,NALGONDA,Chandur,Bangarigadda,16.984666,79.011361,4.46,Post-monsoon 2020,,8.03,835,534.4,0,260,90,0.59,16.3873,10,35.26,4,96,24.31,339.9588816,0.831459837,C3S1,-1.599177632,P.S.
196,NALGONDA,Chityala,Veliminedu,17.228916,79.020166,9.94,Post-monsoon 2020,,8.25,1406,899.84,0,230,230,0.68,151.0289,21,75,1.56,72,87.516,539.8519737,1.403447207,C3S1,-6.197039474,P.S.
197,NALGONDA,Devarakonda,Padamtipally,16.67664,78.797379,8.38,Post-monsoon 2020,,8.04,805,515.2,0,200,50,0.78,135.0845,10,22.94,4.86,56,48.62,339.9177632,0.540976809,C3S1,-2.798355263,P.S.
198,NALGONDA,Devarakonda,Tatikole,16.625235,78.856645,13.44,Post-monsoon 2020,,9.01,995,636.8,40,380,50,2.02,18.119039,19,214,10.1,16,4.862,59.99177632,12.01268466,C3S3,7.200164474,U.S.
199,NALGONDA,Gundlapally,Vavikole,16.675791,78.76505,5.2,Post-monsoon 2020,,8.11,2967,1898.88,0,1070,240,2.82,13.10984,21,599,5.6,24,24.31,159.9588816,20.59182349,C4S4,18.20082237,U.S.
200,NALGONDA,Gurrampode,Gurrampode,16.851709,79.091378,1.67,Post-monsoon 2020,,7.44,1397,894.08,0,440,150,0.38,1.7716,33,59.38,0.5,184,24.31,559.9588816,1.091023961,C3S1,-2.399177632,P.S.
201,NALGONDA,Gurrampode,Koppole,16.914619,79.146882,0.94,Post-monsoon 2020,,8.11,508,325.12,0,120,100,0.27,23.20796,16,44,2.58,40,24.31,199.9588816,1.352865093,C2S1,-1.599177632,P.S.
202,NALGONDA,K.Mallepally,K.Mallepally,16.729392,78.981033,2.3,Post-monsoon 2020,,7.9,1180,755.2,0,310,150,1.31,38.44372,41,91,1.82,88,43.758,399.9259868,1.978443917,C3S1,-1.798519737,P.S.
203,NALGONDA,kanagala,kanagala,16.937341,79.198425,1.58,Post-monsoon 2020,,7.93,1381,883.84,0,260,170,0.63,220.25417,17,78.29,8.52,120,53.482,519.9095395,1.492844471,C3S1,-5.198190789,P.S.
204,NALGONDA,Kattangur,Cheruvu Annaram,17.198652,79.354249,11.07,Post-monsoon 2020,,7.17,2718,1739.52,0,360,670,0.4,17.22881,30,125,3.6,272,97.24,1079.835526,1.653877623,C4S1,-14.39671053,P.S.
205,NALGONDA,Kattangur,Kattangur,17.161891,79.320303,3.18,Post-monsoon 2020,,7.21,2819,1804.16,0,570,540,1.48,28.38989,30,408.3,4,152,29.172,499.9506579,7.93940528,C4S2,1.400986842,MR
206,NALGONDA,Marriguda,Marriguda,16.939916,78.863805,,Post-monsoon 2020,,8.02,519,332.16,0,130,80,0.29,2.39166,15,48.48,2.63,40,14.586,159.9753289,1.666511325,C2S1,-0.599506579,P.S.
207,NALGONDA,Munugode,Kistapur,17.156249,79.017026,3.13,Post-monsoon 2020,,8.68,1320,844.8,30,530,50,2.63,15.111748,15,282,1.6,8,9.724,59.98355263,15.8308845,C3S3,10.00032895,U.S.
208,NALGONDA,Munugode,Kompalli,17.099308,78.993715,3.14,Post-monsoon 2020,,7.73,1504,962.56,0,390,220,0.58,35.65345,27,113.95,10.66,160,24.31,499.9588816,2.215742814,C3S1,-2.199177632,P.S.
209,NALGONDA,Nakrekal,Arlagaddagudam,17.139111,79.400636,2.96,Post-monsoon 2020,,7.29,2144,1372.16,0,430,400,0.56,38.26656,31,213.6,3.8,88,92.378,599.84375,3.79187789,C3S1,-3.396875,P.S.
210,NALGONDA,Nakrekal,Nakrekal,17.159338,79.420978,1.58,Post-monsoon 2020,,7.78,942,602.88,0,380,40,3.24,34.28046,9,45.75,6.68,96,34.034,379.9424342,1.020479681,C3S1,0.001151316,P.S.
211,NALGONDA,Nakrekal,Vallabhapur,17.238945,79.479895,1.19,Post-monsoon 2020,,7.82,910,582.4,0,350,50,3.19,37.82366,11,40.32,6.13,72,48.62,379.9177632,0.899389654,C3S1,-0.598355263,P.S.
212,NALGONDA,Nalgonda,Mushampally,16.97492,79.32478,1.3,Post-monsoon 2020,,8.3,1014,648.96,10,230,160,0.59,20.46198,21,95.01,0.68,48,43.758,299.9259868,2.385252907,C3S1,-1.198519737,P.S.
213,NALGONDA,Nalgonda,S L B C G V guda,17.060183,79.300907,1.08,Post-monsoon 2020,,7.47,1320,844.8,0,270,240,0.64,36.920144,19,55.96,1.45,136,48.62,539.9177632,1.047094942,C3S1,-5.398355263,P.S.
214,NALGONDA,Nalgonda,Seetarampuram,17.110312,79.216751,8.05,Post-monsoon 2020,,8.1,2080,1331.2,0,820,110,6.22,58.9057,20,380,1.9,32,38.896,239.9342105,10.66619877,C3S2,11.60131579,U.S.
215,NALGONDA,Narketpalli,Akkenepally,17.290078,79.235645,2.26,Post-monsoon 2020,,7.32,5988,3832.32,0,390,1630,1.83,5.13764,157,730.5,7.7,1.2,311.168,1282.473684,8.868867223,O.G,-17.84947368,P.S.
216,NALGONDA,Narketpalli,Narketpalli,17.20025,79.191305,7.6,Post-monsoon 2020,,7.78,942,602.88,0,380,40,3.24,34.28046,9,45.75,6.68,96,34.034,379.9424342,1.020479681,C3S1,0.001151316,P.S.
217,NALGONDA,Nidamanuru,Nidamanur,16.84,79.285277,3.64,Post-monsoon 2020,,8.34,2162,1383.68,20,590,200,2.3,172.731,36,427.5,6.7,24,24.31,159.9588816,14.69616785,C3S3,9.000822368,U.S.
218,NALGONDA,P.A Pally,Angadipet,16.716555,79.084472,1.86,Post-monsoon 2020,,8.43,543,347.52,20,160,80,0.44,3.215454,16,52,2.39,32,29.172,199.9506579,1.598873443,C2S1,-0.399013158,P.S.
219,NALGONDA,Peddavoora,Velmaguda,16.77852,79.18302,3.06,Post-monsoon 2020,,8.11,505,323.2,0,130,70,0.32,5.49196,16,50,2.69,8,29.172,139.9506579,1.837615715,C2S1,-0.199013158,P.S.
220,NALGONDA,Shaligowraram,P.Kondaram,17.249444,79.423055,3.6,Post-monsoon 2020,,7.8,2244,1436.16,0,450,390,1.29,108.9534,26,283.8,3.5,72,77.792,499.8684211,5.518953113,C3S1,-0.997368421,P.S.
221,NALGONDA,Thiparthy,Thipparthy,17.01375,79.418305,0.17,Post-monsoon 2020,,8,1510,966.4,0,550,130,1.35,8.4151,10,148.9,8.9,56,68.068,419.8848684,3.159379164,C3S1,2.602302632,U.S.
222,NALGONDA,Thiparthy,Mamidala,17.065212,79.465001,4.97,Post-monsoon 2020,,7.92,2592,1658.88,0,330,470,1.19,271.45341,37,208,40.8,112,121.55,779.7944079,3.238511479,C4S1,-8.995888158,P.S.
223,NALGONDA,Vemulapally,Bommakal,17.026526,79.518081,3.08,Post-monsoon 2020,,7.85,1608,1029.12,0,280,340,1,3,18,188.8,7.2,72,48.62,379.9177632,4.211427747,C3S1,-1.998355263,P.S.
224,NARAYANPET,Kosigi,Kosigi,16.984631,77.705505,2.69,Post-monsoon 2020,,7.94,985,630.4,0,250,110,0.77,79.98774,9.75,29.78,2.7,88,48.62,419.9177632,0.631851083,C3S1,-3.398355263,P.S.
225,NARAYANPET,Maddur,Maddur,16.857,77.607,6.22,Post-monsoon 2020,,8.07,1577,1009.28,0,170,380,0.7,69.5353,20,95,3.17,120,68.068,579.8848684,1.715239941,C3S1,-8.197697368,P.S.
226,NARAYANPET,Makthal,Makthal,16.500518,77.500096,1.52,Post-monsoon 2020,,8.14,2368,1515.52,0,230,500,0.25,240.4947,40.5,142.3,7.9,104,145.86,859.7532895,2.110037341,C4S1,-12.59506579,P.S.
228,NARAYANPET,Narayanpet,Kollampally,16.667939,77.616892,3.41,Post-monsoon 2020,,8.7,1023,654.72,50,400,50,1.72,2.2145,9.25,170.4,3.6,24,24.31,159.9588816,5.85784094,C3S1,5.800822368,U.S.
229,NARAYANPET,Narayanpet,Kotakonda,16.754004,77.637795,1.79,Post-monsoon 2020,,7.78,4584,2933.76,0,220,990,0.42,520.8504,104,391.4,12.3,360,111.826,1359.810855,4.614809026,C4S2,-22.79621711,P.S.
230,NARAYANPET,Narayanpet,Narayanapet,16.7423,77.4812,2.11,Post-monsoon 2020,,8.09,1768,1131.52,0,390,260,1.13,95.97643,38,153.4,5,88,77.792,539.8684211,2.870473628,C3S1,-2.997368421,P.S.
231,NARAYANPET,Narva,Narva,16.4706,77.6567,7.63,Post-monsoon 2020,,8.19,799,511.36,0,380,10,1.92,16.3873,8.75,96.96,2.14,40,24.31,199.9588816,2.981222713,C3S1,3.600822368,U.S.
232,NARAYANPET,Utkoor,Utkoor,16.6407,77.5003,2.44,Post-monsoon 2020,,8.6,2472,1582.08,50,400,490,0.92,46.0616,48,325.5,7,16,121.55,539.7944079,6.091285653,C4S1,-1.795888158,P.S.
233,NARAYANPET,Utkoor,Chinnaporla,16.581217,77.516956,4.33,Post-monsoon 2020,,8.31,915,585.6,30,270,100,0.63,5.3148,12.75,106.45,3.23,40,29.172,219.9506579,3.120722823,C3S1,1.600986842,MR
234,NIRMAL,Kadam,Kadam,19.096611,78.775944,1.38,Post-monsoon 2020,,7.84,1301,832.64,0,430,120,1.09,66.23368182,27.25,103,2,64,72.93,459.8766447,2.088279916,C3S1,-0.597532895,P.S.
235,NIRMAL,Khanapur,Khanapur,19.047089,78.662131,6.19,Post-monsoon 2020,,7.69,990,633.6,0,250,140,0.84,21.13840909,34.75,110,4,40,38.896,259.9342105,2.966423331,C3S1,-0.198684211,P.S.
236,NIRMAL,Kubeer,Kubeer,19.2495,77.945833,2.1,Post-monsoon 2020,,7.66,783,501.12,0,320,20,0.73,50.53086364,11.25,82,4,24,38.896,219.9342105,2.404028556,C3S1,2.001315789,MR
237,NIRMAL,Kuntala,Kuntala,19.1693,78.1004,10.79,Post-monsoon 2020,,7.54,1290,825.6,0,380,140,1.26,72.87718182,14.75,89,2,64,72.93,459.8766447,1.804436044,C3S1,-1.597532895,P.S.
238,NIRMAL,Laxmanchanda,Laxmanchanda,19.017055,78.460861,1.79,Post-monsoon 2020,,7.88,972,622.08,0,290,110,0.27,43.48472727,19.5,92,2,32,53.482,299.9095395,2.309749338,C3S1,-0.198190789,P.S.
239,NIRMAL,Lokeswaram,Abdullapur,18.9703,78.0378,6.97,Post-monsoon 2020,,7.81,731,467.84,0,230,90,0.38,16.50809091,10,64,3,32,38.896,239.9342105,1.796412425,C2S1,-0.198684211,P.S.
